filename,N,M,V,J_V_final,T,rough_success,refined_success,ground_state_overlap,energy_difference
output_1.txt,5,2,1,0.5,0.1,True,True,4.3e-05,3.161427
output_10.txt,3,2,1,0.5,3.8125000000000004,True,True,0.277922,1.029459
output_100.txt,,,,,,False,False,,
output_101.txt,,,,,,False,False,,
output_102.txt,,,,,,False,False,,
output_103.txt,,,,,,False,False,,
output_104.txt,,,,,,False,False,,
output_105.txt,,,,,,False,False,,
output_106.txt,,,,,,False,False,,
output_107.txt,,,,,,False,False,,
output_108.txt,,,,,,False,False,,
output_109.txt,3,2,1,0.5,7.525,True,True,0.740994,0.339119
output_11.txt,5,2,1,0.5,3.8125000000000004,True,True,0.216756,1.614427
output_110.txt,3,2,1,0.5,0.1,True,True,0.001714,1.865155
output_111.txt,,,,,,False,False,,
output_112.txt,3,2,1,0.5,7.9375,True,True,0.812567,0.222639
output_113.txt,3,2,1,0.5,8.35,True,True,0.846636,0.189665
output_114.txt,3,2,1,0.5,8.762500000000001,True,True,0.637589,0.409164
output_115.txt,3,2,1,0.5,9.175,True,True,0.908752,0.1018
output_116.txt,3,2,1,0.5,9.5875,True,True,0.930106,0.087411
output_117.txt,3,2,1,0.5,10.0,True,True,0.95438,0.059641
output_118.txt,3,3,1,0.5,0.1,True,True,0.000296,2.220748
output_119.txt,3,3,1,0.5,0.5125000000000001,True,True,0.000581,1.968699
output_12.txt,5,2,1,0.5,4.225,True,True,0.257016,1.573267
output_120.txt,3,3,1,0.5,0.925,True,True,0.002726,2.055877
output_121.txt,3,3,1,0.5,1.3375000000000001,True,True,0.017139,1.793658
output_122.txt,3,2,1,0.5,0.5125000000000001,True,True,0.003598,1.604691
output_123.txt,3,3,1,0.5,1.7500000000000002,True,True,0.040948,1.51822
output_124.txt,3,3,1,0.5,2.1625,True,True,0.064427,1.404451
output_125.txt,3,3,1,0.5,2.575,True,True,0.089219,1.327104
output_126.txt,3,3,1,0.5,2.9875000000000003,True,True,0.113928,1.277022
output_127.txt,3,3,1,0.5,3.4000000000000004,True,True,0.137117,1.23917
output_128.txt,3,3,1,0.5,3.8125000000000004,True,True,0.161839,1.208492
output_129.txt,3,3,1,0.5,4.225,True,True,0.182813,1.141352
output_13.txt,5,2,1,0.5,4.6375,True,True,0.58065,0.920081
output_130.txt,3,3,1,0.5,4.6375,True,True,0.20574,1.093448
output_131.txt,3,3,1,0.5,5.05,True,True,0.232536,1.084668
output_132.txt,3,3,1,0.5,5.4625,True,True,0.272731,0.977818
output_133.txt,3,2,1,0.5,0.925,True,True,0.036475,1.607475
output_134.txt,3,3,1,0.5,5.875,True,True,0.303026,0.87097
output_135.txt,3,3,1,0.5,6.2875000000000005,True,True,0.331049,0.740651
output_136.txt,3,3,1,0.5,6.7,True,True,0.248134,0.926329
output_137.txt,3,3,1,0.5,7.1125,True,True,0.277216,0.858889
output_138.txt,3,3,1,0.5,7.525,True,True,0.460928,0.551891
output_139.txt,3,3,1,0.5,7.9375,True,True,0.507806,0.439652
output_14.txt,5,2,1,0.5,5.05,True,True,0.327758,1.31346
output_140.txt,3,3,1,0.5,8.35,True,True,0.514654,0.440822
output_141.txt,3,3,1,0.5,8.762500000000001,True,True,0.535491,0.414887
output_142.txt,3,3,1,0.5,9.175,True,True,0.544518,0.381477
output_143.txt,3,3,1,0.5,9.5875,True,True,0.590335,0.417845
output_144.txt,3,2,1,0.5,1.3375000000000001,True,True,0.080424,1.573417
output_145.txt,3,3,1,0.5,10.0,True,True,0.48596,0.467839
output_146.txt,3,4,1,0.5,0.1,True,True,2.7e-05,2.456003
output_147.txt,3,4,1,0.5,0.5125000000000001,True,True,5.1e-05,2.233569
output_148.txt,3,4,1,0.5,0.925,True,True,0.000179,2.33079
output_149.txt,3,4,1,0.5,1.3375000000000001,True,True,0.000652,2.333592
output_15.txt,5,2,1,0.5,5.4625,True,True,0.722597,0.561766
output_150.txt,3,4,1,0.5,1.7500000000000002,True,True,0.001084,2.079829
output_151.txt,3,4,1,0.5,2.1625,True,True,0.015745,1.715478
output_152.txt,3,4,1,0.5,2.575,True,True,0.026171,1.597511
output_153.txt,3,4,1,0.5,2.9875000000000003,True,True,0.035878,1.530802
output_154.txt,3,4,1,0.5,3.4000000000000004,True,True,0.045051,1.484469
output_155.txt,3,2,1,0.5,1.7500000000000002,True,True,0.123261,1.503621
output_156.txt,3,4,1,0.5,3.8125000000000004,True,True,0.055776,1.431632
output_157.txt,3,4,1,0.5,4.225,True,True,0.065323,1.299995
output_158.txt,3,4,1,0.5,4.6375,True,True,0.088816,0.95008
output_159.txt,3,4,1,0.5,5.05,True,True,0.116803,0.942125
output_16.txt,5,2,1,0.5,5.875,True,True,0.395272,1.144094
output_160.txt,3,4,1,0.5,5.4625,True,True,0.138578,0.80908
output_161.txt,3,4,1,0.5,5.875,True,True,0.169019,0.78272
output_162.txt,3,4,1,0.5,6.2875000000000005,True,True,0.099298,0.882862
output_163.txt,3,4,1,0.5,6.7,True,True,0.217763,0.73577
output_164.txt,3,4,1,0.5,7.1125,True,True,0.248582,0.661249
output_165.txt,3,4,1,0.5,7.525,True,True,0.257081,0.703743
output_166.txt,3,2,1,0.5,2.1625,True,True,0.164427,1.423031
output_167.txt,3,4,1,0.5,7.9375,True,True,0.269049,0.739652
output_168.txt,3,4,1,0.5,8.35,True,True,0.352579,0.602816
output_169.txt,3,4,1,0.5,8.762500000000001,True,True,0.407785,0.588346
output_17.txt,5,2,1,0.5,6.2875000000000005,True,True,0.83767,0.367668
output_170.txt,3,4,1,0.5,9.175,True,True,0.237934,0.625222
output_171.txt,3,4,1,0.5,9.5875,True,True,0.26016,0.619365
output_172.txt,3,4,1,0.5,10.0,True,True,0.282796,0.646077
output_173.txt,3,5,1,0.5,0.1,True,True,5e-06,2.573687
output_174.txt,3,5,1,0.5,0.5125000000000001,True,True,8e-06,2.46554
output_175.txt,3,5,1,0.5,0.925,True,True,1.2e-05,2.362058
output_176.txt,3,5,1,0.5,1.3375000000000001,True,True,0.00013,2.479499
output_177.txt,3,2,1,0.5,2.575,True,True,0.200021,1.347197
output_178.txt,3,5,1,0.5,1.7500000000000002,True,True,0.000192,2.261893
output_179.txt,3,5,1,0.5,2.1625,True,True,0.002337,2.044379
output_18.txt,5,2,1,0.5,6.7,True,True,0.890304,0.293531
output_180.txt,3,5,1,0.5,2.575,True,True,0.006236,1.844826
output_181.txt,3,5,1,0.5,2.9875000000000003,True,True,0.009663,1.75723
output_182.txt,3,5,1,0.5,3.4000000000000004,True,True,0.0128,1.702999
output_183.txt,3,5,1,0.5,3.8125000000000004,True,True,0.016351,1.656479
output_184.txt,3,5,1,0.5,4.225,True,True,0.01961,1.607672
output_185.txt,3,5,1,0.5,4.6375,True,True,0.023464,1.568864
output_186.txt,3,5,1,0.5,5.05,True,True,0.040492,1.230153
output_187.txt,3,5,1,0.5,5.4625,True,True,0.049874,1.11335
output_188.txt,3,2,1,0.5,2.9875000000000003,True,True,0.228295,1.280128
output_189.txt,3,5,1,0.5,5.875,True,True,0.060686,1.000131
output_19.txt,5,2,1,0.5,7.1125,True,True,0.935638,0.154709
output_190.txt,3,5,1,0.5,6.2875000000000005,True,True,0.062727,1.170802
output_191.txt,3,5,1,0.5,6.7,True,True,0.122345,0.899964
output_192.txt,3,5,1,0.5,7.1125,True,True,0.150728,0.837447
output_193.txt,3,5,1,0.5,7.525,True,True,0.172698,0.784477
output_194.txt,3,5,1,0.5,7.9375,True,True,0.171425,0.600222
output_195.txt,3,5,1,0.5,8.35,True,True,0.194182,0.565954
output_196.txt,3,5,1,0.5,8.762500000000001,True,True,0.21688,0.529866
output_197.txt,,,,,,False,False,,
output_198.txt,,,,,,False,False,,
output_199.txt,3,2,1,0.5,3.4000000000000004,True,True,0.250484,1.150675
output_2.txt,5,2,1,0.5,0.5125000000000001,True,True,0.00019,2.702951
output_20.txt,5,2,1,0.5,7.525,True,True,0.509642,0.867461
output_200.txt,,,,,,False,False,,
output_21.txt,3,2,1,0.5,4.225,True,True,0.364232,0.858806
output_22.txt,5,2,1,0.5,7.9375,True,True,0.968922,0.06664
output_23.txt,5,2,1,0.5,8.35,True,True,0.553668,0.829437
output_24.txt,5,2,1,0.5,8.762500000000001,True,True,0.977625,0.041856
output_25.txt,5,2,1,0.5,9.175,True,True,0.978738,0.037223
