filename,N,M,V,J_V_final,T,rough_success,refined_success,ground_state_overlap,energy_difference
output_1.txt,2,3,-1,0.0,3.8125000000000004,True,True,0.94784,0.05216
output_10.txt,2,3,-1,0.0,7.525,True,True,0.953317,0.046683
output_17.txt,2,3,-1,0.0,10.0,True,True,0.994616,0.005384
output_18.txt,3,3,-1,0.0,0.1,True,True,0.000395,1.413664
output_19.txt,3,3,-1,0.0,0.5125000000000001,True,True,0.775004,0.334249
output_2.txt,2,3,-1,0.0,4.225,True,True,0.965603,0.034397
output_20.txt,3,3,-1,0.0,0.925,True,True,0.824567,0.260185
output_21.txt,3,3,-1,0.0,1.3375000000000001,True,True,0.882991,0.17268
output_22.txt,2,3,-1,0.0,0.5125000000000001,True,True,0.543625,0.456375
output_23.txt,3,3,-1,0.0,1.7500000000000002,True,True,0.917669,0.123041
output_24.txt,3,3,-1,0.0,2.1625,True,True,0.921897,0.112811
output_25.txt,3,3,-1,0.0,2.575,True,True,0.948016,0.074719
output_26.txt,3,3,-1,0.0,2.9875000000000003,True,True,0.967805,0.046475
output_27.txt,3,3,-1,0.0,3.4000000000000004,True,True,0.97953,0.029917
output_28.txt,3,3,-1,0.0,3.8125000000000004,True,True,0.979852,0.033753
output_29.txt,3,3,-1,0.0,4.225,True,True,0.964197,0.057918
output_3.txt,2,3,-1,0.0,4.6375,True,True,0.923295,0.076705
output_30.txt,3,3,-1,0.0,4.6375,True,True,0.970333,0.047254
output_31.txt,3,3,-1,0.0,5.05,True,True,0.974892,0.038765
output_32.txt,3,3,-1,0.0,5.4625,True,True,0.979373,0.03073
output_33.txt,2,3,-1,0.0,0.925,True,True,0.582363,0.417637
output_34.txt,3,3,-1,0.0,5.875,True,True,0.981427,0.02729
output_35.txt,3,3,-1,0.0,6.2875000000000005,True,True,0.985701,0.020593
output_36.txt,3,3,-1,0.0,6.7,True,True,0.999455,0.001041
output_37.txt,3,3,-1,0.0,7.1125,True,True,0.991877,0.011836
output_38.txt,3,3,-1,0.0,7.525,True,True,0.999779,0.000436
output_39.txt,3,3,-1,0.0,7.9375,True,True,0.999828,0.000332
output_4.txt,2,3,-1,0.0,5.05,True,True,0.93402,0.06598
output_40.txt,3,3,-1,0.0,8.35,True,True,0.99988,0.000224
output_41.txt,3,3,-1,0.0,8.762500000000001,True,True,0.999878,0.000223
output_42.txt,3,3,-1,0.0,9.175,True,True,0.999737,0.000517
output_43.txt,3,3,-1,0.0,9.5875,True,True,0.996234,0.006677
output_44.txt,2,3,-1,0.0,1.3375000000000001,True,True,0.693586,0.306414
output_45.txt,3,3,-1,0.0,10.0,True,True,0.996126,0.006698
output_46.txt,4,3,-1,0.0,0.1,True,True,0.0,2.235207
output_47.txt,4,3,-1,0.0,0.5125000000000001,True,True,0.0,2.234945
output_48.txt,4,3,-1,0.0,0.925,True,True,0.0,2.234553
output_49.txt,4,3,-1,0.0,1.3375000000000001,True,True,0.0,2.234368
output_5.txt,2,3,-1,0.0,5.4625,True,True,0.940383,0.059617
output_50.txt,4,3,-1,0.0,1.7500000000000002,True,True,0.0,2.234055
output_51.txt,4,3,-1,0.0,2.1625,True,True,1e-06,2.233435
output_52.txt,4,3,-1,0.0,2.575,True,True,1e-06,2.232683
output_53.txt,4,3,-1,0.0,2.9875000000000003,True,True,2e-06,2.231099
output_56.txt,4,3,-1,0.0,3.8125000000000004,True,True,0.818166,0.14931
output_6.txt,2,3,-1,0.0,5.875,True,True,0.945139,0.054861
output_61.txt,4,3,-1,0.0,5.875,True,True,0.721224,0.216997
output_62.txt,4,3,-1,0.0,6.2875000000000005,True,True,0.963349,0.033294
output_69.txt,4,3,-1,0.0,8.762500000000001,True,True,0.925589,0.089655
output_7.txt,2,3,-1,0.0,6.2875000000000005,True,True,0.949659,0.050341
output_70.txt,4,3,-1,0.0,9.175,True,True,0.892863,0.085674
output_71.txt,4,3,-1,0.0,9.5875,True,True,0.90724,0.076364
output_72.txt,4,3,-1,0.0,10.0,True,True,0.917296,0.069771
output_73.txt,5,3,-1,0.0,0.1,True,True,0.0,2.730878
output_74.txt,5,3,-1,0.0,0.5125000000000001,True,True,0.0,2.730499
output_75.txt,5,3,-1,0.0,0.925,True,True,0.0,2.729927
output_76.txt,5,3,-1,0.0,1.3375000000000001,True,True,1e-06,2.729661
output_78.txt,5,3,-1,0.0,1.7500000000000002,True,True,1e-06,2.728827
output_79.txt,5,3,-1,0.0,2.1625,True,True,2e-06,2.727637
output_8.txt,2,3,-1,0.0,6.7,True,True,0.995828,0.004172
output_80.txt,5,3,-1,0.0,2.575,True,True,0.901119,0.115075
output_81.txt,5,3,-1,0.0,2.9875000000000003,True,True,0.899986,0.131655
output_82.txt,5,3,-1,0.0,3.4000000000000004,True,True,0.954043,0.057372
output_83.txt,,,,,,False,False,,
output_84.txt,5,3,-1,0.0,4.225,True,True,0.835071,0.194572
output_85.txt,5,3,-1,0.0,4.6375,True,True,0.889824,0.137838
output_86.txt,,,,,,False,False,,
output_87.txt,5,3,-1,0.0,5.4625,True,True,0.920473,0.097101
output_9.txt,2,3,-1,0.0,7.1125,True,True,0.997899,0.002101
output_94.txt,,,,,,False,False,,
output_95.txt,,,,,,False,False,,
output_96.txt,,,,,,False,False,,
output_97.txt,,,,,,False,False,,
output_98.txt,,,,,,False,False,,
output_99.txt,2,3,-1,0.0,3.4000000000000004,True,True,0.907195,0.092805
