filename,N,M,V,J_V_final,T,rough_success,refined_success,ground_state_overlap,energy_difference
output_1.txt,3,2,-1,2.5,0.1,True,True,0.110319,8.371473
output_10.txt,2,2,-1,2.5,3.8125000000000004,True,True,1.0,4e-06
output_101.txt,3,5,-1,2.5,6.7,True,True,0.99279,0.037523
output_102.txt,,,,,,False,False,,
output_106.txt,,,,,,False,False,,
output_107.txt,,,,,,False,False,,
output_11.txt,3,2,-1,2.5,3.8125000000000004,True,True,0.999994,7e-05
output_111.txt,3,5,-1,2.5,10.0,True,True,0.894907,0.709079
output_112.txt,4,2,-1,2.5,0.1,True,True,0.051494,11.329556
output_116.txt,4,2,-1,2.5,1.7500000000000002,True,True,0.99991,0.000923
output_12.txt,3,2,-1,2.5,4.225,True,True,0.999992,7.9e-05
output_121.txt,2,2,-1,2.5,7.9375,True,True,1.0,0.0
output_122.txt,4,2,-1,2.5,3.8125000000000004,True,True,0.999985,0.000165
output_126.txt,4,2,-1,2.5,5.4625,True,True,0.999997,3.2e-05
output_13.txt,3,2,-1,2.5,4.6375,True,True,1.0,2e-06
output_14.txt,3,2,-1,2.5,5.05,True,True,0.999979,0.000207
output_141.txt,4,3,-1,2.5,0.925,True,True,0.985068,0.112508
output_142.txt,4,3,-1,2.5,1.3375000000000001,True,True,0.98841,0.078169
output_15.txt,3,2,-1,2.5,5.4625,True,True,0.999725,0.002508
output_151.txt,4,3,-1,2.5,4.6375,True,True,0.999896,0.000843
output_152.txt,4,3,-1,2.5,5.05,True,True,0.999985,0.000139
output_153.txt,4,3,-1,2.5,5.4625,True,True,0.986309,0.082255
output_156.txt,4,3,-1,2.5,6.2875000000000005,True,True,0.999873,0.000879
output_157.txt,4,3,-1,2.5,6.7,True,True,0.99998,0.000212
output_158.txt,4,3,-1,2.5,7.1125,True,True,0.999754,0.001561
output_167.txt,4,4,-1,2.5,0.1,True,True,0.000386,17.382008
output_168.txt,4,4,-1,2.5,0.5125000000000001,True,True,0.14106,5.566961
output_169.txt,4,4,-1,2.5,0.925,True,True,0.944816,0.44815
output_170.txt,4,4,-1,2.5,1.3375000000000001,True,True,0.972809,0.20424
output_172.txt,,,,,,False,False,,
output_173.txt,,,,,,False,False,,
output_174.txt,,,,,,False,False,,
output_175.txt,,,,,,False,False,,
output_178.txt,,,,,,False,False,,
output_181.txt,,,,,,False,False,,
output_185.txt,4,4,-1,2.5,7.1125,True,True,0.935292,0.512015
output_186.txt,,,,,,False,False,,
output_187.txt,2,3,-1,2.5,0.1,True,True,0.062115,7.477371
output_188.txt,,,,,,False,False,,
output_190.txt,,,,,,False,False,,
output_191.txt,,,,,,False,False,,
output_192.txt,,,,,,False,False,,
output_196.txt,,,,,,False,False,,
output_197.txt,,,,,,False,False,,
output_2.txt,3,2,-1,2.5,0.5125000000000001,True,True,0.988869,0.111605
output_202.txt,,,,,,False,False,,
output_206.txt,,,,,,False,False,,
output_207.txt,,,,,,False,False,,
output_208.txt,,,,,,False,False,,
output_209.txt,2,3,-1,2.5,0.925,True,True,0.990571,0.070844
output_21.txt,2,2,-1,2.5,4.225,True,True,1.0,0.0
output_210.txt,,,,,,False,False,,
output_211.txt,,,,,,False,False,,
output_212.txt,,,,,,False,False,,
output_213.txt,,,,,,False,False,,
output_214.txt,,,,,,False,False,,
output_215.txt,,,,,,False,False,,
output_216.txt,,,,,,False,False,,
output_217.txt,,,,,,False,False,,
output_218.txt,,,,,,False,False,,
output_219.txt,,,,,,False,False,,
output_22.txt,3,2,-1,2.5,7.9375,True,True,1.0,1e-06
output_220.txt,2,3,-1,2.5,1.3375000000000001,True,True,0.996684,0.025392
output_221.txt,2,2,-1,2.5,0.5125000000000001,True,True,0.99439,0.053067
output_222.txt,,,,,,False,False,,
output_223.txt,5,2,-1,2.5,0.1,True,True,0.024036,14.287624
output_224.txt,5,2,-1,2.5,0.5125000000000001,True,True,0.980552,0.199101
output_225.txt,5,2,-1,2.5,0.925,True,True,0.99037,0.068874
output_226.txt,5,2,-1,2.5,1.3375000000000001,True,True,0.997628,0.017925
output_227.txt,5,2,-1,2.5,1.7500000000000002,True,True,0.999484,0.004262
output_228.txt,5,2,-1,2.5,2.1625,True,True,0.999968,0.000298
output_229.txt,5,2,-1,2.5,2.575,True,True,0.999994,6.7e-05
output_23.txt,3,2,-1,2.5,8.35,True,True,1.0,2e-06
output_230.txt,5,2,-1,2.5,2.9875000000000003,True,True,0.999917,0.000642
output_231.txt,5,2,-1,2.5,3.4000000000000004,True,True,0.999513,0.004725
output_232.txt,2,3,-1,2.5,1.7500000000000002,True,True,0.998774,0.009826
output_233.txt,5,2,-1,2.5,3.8125000000000004,True,True,0.999789,0.001591
output_234.txt,5,2,-1,2.5,4.225,True,True,0.999984,0.000156
