mu_V_ratio,J_V_ratio,energy_gap
0.000000000000000000e+00,-5.000000000000000000e+00,9.356592578062183918e-01
5.050505050505050414e-02,-5.000000000000000000e+00,9.341114035704904950e-01
1.010101010101010083e-01,-5.000000000000000000e+00,9.325394564926696717e-01
1.515151515151515194e-01,-5.000000000000000000e+00,9.309429236769766192e-01
2.020202020202020166e-01,-5.000000000000000000e+00,9.293213016393337966e-01
2.525252525252525415e-01,-5.000000000000000000e+00,9.276740761897244170e-01
3.030303030303030387e-01,-5.000000000000000000e+00,9.260007223273980514e-01
3.535353535353535359e-01,-5.000000000000000000e+00,9.243007041514132993e-01
4.040404040404040331e-01,-5.000000000000000000e+00,9.225734747882903264e-01
4.545454545454545303e-01,-5.000000000000000000e+00,9.208184763394626771e-01
5.050505050505050830e-01,-5.000000000000000000e+00,9.190351398509228886e-01
5.555555555555555802e-01,-5.000000000000000000e+00,9.172228853081314526e-01
6.060606060606060774e-01,-5.000000000000000000e+00,9.153811216592728783e-01
6.565656565656565746e-01,-5.000000000000000000e+00,9.135092468704186786e-01
7.070707070707070718e-01,-5.000000000000000000e+00,9.116066480167432928e-01
7.575757575757575690e-01,-5.000000000000000000e+00,9.096727014134025069e-01
8.080808080808080662e-01,-5.000000000000000000e+00,9.077067727917373929e-01
8.585858585858585634e-01,-5.000000000000000000e+00,9.057082175251167655e-01
9.090909090909090606e-01,-5.000000000000000000e+00,9.036763809106709289e-01
9.595959595959595578e-01,-5.000000000000000000e+00,9.016105985131410705e-01
1.010101010101010166e+00,-5.000000000000000000e+00,8.995101965772853703e-01
1.060606060606060552e+00,-5.000000000000000000e+00,8.973744925172759679e-01
1.111111111111111160e+00,-5.000000000000000000e+00,8.952027954904160367e-01
1.161616161616161547e+00,-5.000000000000000000e+00,8.929944070652666710e-01
1.212121212121212155e+00,-5.000000000000000000e+00,8.907486219936018301e-01
1.262626262626262541e+00,-5.000000000000000000e+00,8.884647290973148870e-01
1.313131313131313149e+00,-5.000000000000000000e+00,8.861420122827361467e-01
1.363636363636363535e+00,-5.000000000000000000e+00,8.837797516951724219e-01
1.414141414141414144e+00,-5.000000000000000000e+00,8.813772250283768983e-01
1.464646464646464530e+00,-5.000000000000000000e+00,8.789337090050359791e-01
1.515151515151515138e+00,-5.000000000000000000e+00,8.764484810454185038e-01
1.565656565656565524e+00,-5.000000000000000000e+00,8.739208211435141038e-01
1.616161616161616132e+00,-5.000000000000000000e+00,8.713500139715009141e-01
1.666666666666666741e+00,-5.000000000000000000e+00,8.687353512352586904e-01
1.717171717171717127e+00,-5.000000000000000000e+00,8.660761343062119977e-01
1.767676767676767735e+00,-5.000000000000000000e+00,8.633716771563797465e-01
1.818181818181818121e+00,-5.000000000000000000e+00,8.606213096267936180e-01
1.868686868686868729e+00,-5.000000000000000000e+00,8.578243810615511222e-01
1.919191919191919116e+00,-5.000000000000000000e+00,8.549802643429842419e-01
1.969696969696969724e+00,-5.000000000000000000e+00,8.520883603664302086e-01
2.020202020202020332e+00,-5.000000000000000000e+00,8.491481029966827521e-01
2.070707070707070496e+00,-5.000000000000000000e+00,8.461589645516660596e-01
2.121212121212121104e+00,-5.000000000000000000e+00,8.431204618624974501e-01
2.171717171717171713e+00,-5.000000000000000000e+00,8.400321629641531729e-01
2.222222222222222321e+00,-5.000000000000000000e+00,8.368936944741918182e-01
2.272727272727272485e+00,-5.000000000000000000e+00,8.337047497224716608e-01
2.323232323232323093e+00,-5.000000000000000000e+00,8.304650976995588962e-01
2.373737373737373701e+00,-5.000000000000000000e+00,8.271745928962346284e-01
2.424242424242424310e+00,-5.000000000000000000e+00,8.238331861126013678e-01
2.474747474747474918e+00,-5.000000000000000000e+00,8.204409363199545169e-01
2.525252525252525082e+00,-5.000000000000000000e+00,8.169980236649756478e-01
2.575757575757575690e+00,-5.000000000000000000e+00,8.135047637108279162e-01
2.626262626262626299e+00,-5.000000000000000000e+00,8.099616230158162011e-01
2.676767676767676907e+00,-5.000000000000000000e+00,8.063692361552341481e-01
2.727272727272727071e+00,-5.000000000000000000e+00,8.027284242976442385e-01
2.777777777777777679e+00,-5.000000000000000000e+00,7.990402154509190780e-01
2.828282828282828287e+00,-5.000000000000000000e+00,7.953058664974399505e-01
2.878787878787878896e+00,-5.000000000000000000e+00,7.915268871407086237e-01
2.929292929292929060e+00,-5.000000000000000000e+00,7.877050658868540722e-01
2.979797979797979668e+00,-5.000000000000000000e+00,7.838424981840610428e-01
3.030303030303030276e+00,-5.000000000000000000e+00,7.799416168407020677e-01
