mu_V_ratio,J_V_ratio,energy_gap
0.000000000000000000e+00,-5.000000000000000000e+00,7.521132828246273050e-01
5.050505050505050414e-02,-5.000000000000000000e+00,7.508142440529397277e-01
1.010101010101010083e-01,-5.000000000000000000e+00,7.494960403559645101e-01
1.515151515151515194e-01,-5.000000000000000000e+00,7.481583182624049755e-01
2.020202020202020166e-01,-5.000000000000000000e+00,7.468007182671883015e-01
2.525252525252525415e-01,-5.000000000000000000e+00,7.454228748468985088e-01
3.030303030303030387e-01,-5.000000000000000000e+00,7.440244164885356781e-01
3.535353535353535359e-01,-5.000000000000000000e+00,7.426049657324362840e-01
4.040404040404040331e-01,-5.000000000000000000e+00,7.411641392315111432e-01
4.545454545454545303e-01,-5.000000000000000000e+00,7.397015478276145473e-01
5.050505050505050830e-01,-5.000000000000000000e+00,7.382167966469168618e-01
5.555555555555555802e-01,-5.000000000000000000e+00,7.367094852162558993e-01
6.060606060606060774e-01,-5.000000000000000000e+00,7.351792076019094679e-01
6.565656565656565746e-01,-5.000000000000000000e+00,7.336255525734678429e-01
7.070707070707070718e-01,-5.000000000000000000e+00,7.320481037941348745e-01
7.575757575757575690e-01,-5.000000000000000000e+00,7.304464400407120195e-01
8.080808080808080662e-01,-5.000000000000000000e+00,7.288201354549848077e-01
8.585858585858585634e-01,-5.000000000000000000e+00,7.271687598300253796e-01
9.090909090909090606e-01,-5.000000000000000000e+00,7.254918789334112716e-01
9.595959595959595578e-01,-5.000000000000000000e+00,7.237890548712293537e-01
1.010101010101010166e+00,-5.000000000000000000e+00,7.220598464958349894e-01
1.060606060606060552e+00,-5.000000000000000000e+00,7.203038098608161022e-01
1.111111111111111160e+00,-5.000000000000000000e+00,7.185204987274254051e-01
1.161616161616161547e+00,-5.000000000000000000e+00,7.167094651259127147e-01
1.212121212121212155e+00,-5.000000000000000000e+00,7.148702599765250909e-01
1.262626262626262541e+00,-5.000000000000000000e+00,7.130024337748963603e-01
1.313131313131313149e+00,-5.000000000000000000e+00,7.111055373458725626e-01
1.363636363636363535e+00,-5.000000000000000000e+00,7.091791226724524222e-01
1.414141414141414144e+00,-5.000000000000000000e+00,7.072227438037472780e-01
1.464646464646464530e+00,-5.000000000000000000e+00,7.052359578493714309e-01
1.515151515151515138e+00,-5.000000000000000000e+00,7.032183260651798662e-01
1.565656565656565524e+00,-5.000000000000000000e+00,7.011694150378282586e-01
1.616161616161616132e+00,-5.000000000000000000e+00,6.990887979750759484e-01
1.666666666666666741e+00,-5.000000000000000000e+00,6.969760561084470396e-01
1.717171717171717127e+00,-5.000000000000000000e+00,6.948307802169289005e-01
1.767676767676767735e+00,-5.000000000000000000e+00,6.926525722796199602e-01
1.818181818181818121e+00,-5.000000000000000000e+00,6.904410472652280362e-01
1.868686868686868729e+00,-5.000000000000000000e+00,6.881958350683348158e-01
1.919191919191919116e+00,-5.000000000000000000e+00,6.859165826014752554e-01
1.969696969696969724e+00,-5.000000000000000000e+00,6.836029560524465865e-01
2.020202020202020332e+00,-5.000000000000000000e+00,6.812546433177786298e-01
2.070707070707070496e+00,-5.000000000000000000e+00,6.788713566222810414e-01
2.121212121212121104e+00,-5.000000000000000000e+00,6.764528353359580137e-01
2.171717171717171713e+00,-5.000000000000000000e+00,6.739988489997870147e-01
2.222222222222222321e+00,-5.000000000000000000e+00,6.715092005715384005e-01
2.272727272727272485e+00,-5.000000000000000000e+00,6.689837299038963181e-01
2.323232323232323093e+00,-5.000000000000000000e+00,6.664223174668819638e-01
2.373737373737373701e+00,-5.000000000000000000e+00,6.638248883269852740e-01
2.424242424242424310e+00,-5.000000000000000000e+00,6.611914163953649393e-01
2.474747474747474918e+00,-5.000000000000000000e+00,6.585219289577430857e-01
2.525252525252525082e+00,-5.000000000000000000e+00,6.558165114981342469e-01
2.575757575757575690e+00,-5.000000000000000000e+00,6.530753128290349707e-01
2.626262626262626299e+00,-5.000000000000000000e+00,6.502985505399578869e-01
2.676767676767676907e+00,-5.000000000000000000e+00,6.474865167755332607e-01
2.727272727272727071e+00,-5.000000000000000000e+00,6.446395843550938309e-01
2.777777777777777679e+00,-5.000000000000000000e+00,6.417582132431576269e-01
2.828282828282828287e+00,-5.000000000000000000e+00,6.388429573808309669e-01
2.878787878787878896e+00,-5.000000000000000000e+00,6.358944718863419610e-01
2.929292929292929060e+00,-5.000000000000000000e+00,6.329135206316749418e-01
2.979797979797979668e+00,-5.000000000000000000e+00,6.299009842011003002e-01
3.030303030303030276e+00,-5.000000000000000000e+00,6.268578682350529618e-01
3.080808080808080884e+00,-5.000000000000000000e+00,6.237853121612637608e-01
3.131313131313131048e+00,-5.000000000000000000e+00,6.206845983125184318e-01
3.181818181818181657e+00,-5.000000000000000000e+00,6.175571614278396737e-01
3.232323232323232265e+00,-5.000000000000000000e+00,6.144045985309674052e-01
3.282828282828282873e+00,-5.000000000000000000e+00,6.112286791771310845e-01
3.333333333333333481e+00,-5.000000000000000000e+00,6.080313560551644514e-01
3.383838383838383645e+00,-5.000000000000000000e+00,6.048147759286592873e-01
3.434343434343434254e+00,-5.000000000000000000e+00,6.015812908957300920e-01
3.484848484848484862e+00,-5.000000000000000000e+00,5.983334699428617398e-01
3.535353535353535470e+00,-5.000000000000000000e+00,5.950741107631642990e-01
3.585858585858585634e+00,-5.000000000000000000e+00,5.918062518062647825e-01
3.636363636363636243e+00,-5.000000000000000000e+00,5.885331845203651824e-01
3.686868686868686851e+00,-5.000000000000000000e+00,5.852584657442001514e-01
3.737373737373737459e+00,-5.000000000000000000e+00,5.819859301997425405e-01
3.787878787878787623e+00,-5.000000000000000000e+00,5.787197030345083704e-01
3.838383838383838231e+00,-5.000000000000000000e+00,5.754642123546709342e-01
3.888888888888888840e+00,-5.000000000000000000e+00,5.722242016892558070e-01
3.939393939393939448e+00,-5.000000000000000000e+00,5.690047423194251053e-01
3.989898989898989612e+00,-5.000000000000000000e+00,5.658112454047277140e-01
4.040404040404040664e+00,-5.000000000000000000e+00,5.626494738356129233e-01
4.090909090909090828e+00,-5.000000000000000000e+00,5.595255537393555301e-01
4.141414141414140992e+00,-5.000000000000000000e+00,5.564459855645509379e-01
4.191919191919192045e+00,-5.000000000000000000e+00,5.534176546709872468e-01
4.242424242424242209e+00,-5.000000000000000000e+00,5.504478413498326006e-01
4.292929292929293261e+00,-5.000000000000000000e+00,5.475442302019608576e-01
4.343434343434343425e+00,-5.000000000000000000e+00,5.447149188039475121e-01
4.393939393939393590e+00,-5.000000000000000000e+00,5.419684255933425732e-01
4.444444444444444642e+00,-5.000000000000000000e+00,5.393136969085858823e-01
4.494949494949494806e+00,-5.000000000000000000e+00,5.367601131212111909e-01
4.545454545454544970e+00,-5.000000000000000000e+00,5.343174938014136899e-01
4.595959595959596022e+00,-5.000000000000000000e+00,5.319961018591250479e-01
4.646464646464646187e+00,-5.000000000000000000e+00,5.298066466035216138e-01
4.696969696969697239e+00,-5.000000000000000000e+00,5.277602856619836302e-01
4.747474747474747403e+00,-5.000000000000000000e+00,5.258686256946845106e-01
4.797979797979797567e+00,-5.000000000000000000e+00,5.241437218326332470e-01
4.848484848484848619e+00,-5.000000000000000000e+00,5.225980757544235189e-01
4.898989898989898784e+00,-5.000000000000000000e+00,5.212446322979218394e-01
4.949494949494949836e+00,-5.000000000000000000e+00,5.200967744798106196e-01
5.000000000000000000e+00,-5.000000000000000000e+00,5.191683167656293563e-01
0.000000000000000000e+00,-4.898989898989898784e+00,7.323112088089800409e-01
5.050505050505050414e-02,-4.898989898989898784e+00,7.310175050597251811e-01
1.010101010101010083e-01,-4.898989898989898784e+00,7.297043197097892175e-01
1.515151515151515194e-01,-4.898989898989898784e+00,7.283712860501836417e-01
2.020202020202020166e-01,-4.898989898989898784e+00,7.270180309890470483e-01
2.525252525252525415e-01,-4.898989898989898784e+00,7.256441750690001413e-01
3.030303030303030387e-01,-4.898989898989898784e+00,7.242493324995464832e-01
3.535353535353535359e-01,-4.898989898989898784e+00,7.228331112049417584e-01
4.040404040404040331e-01,-4.898989898989898784e+00,7.213951128901641141e-01
4.545454545454545303e-01,-4.898989898989898784e+00,7.199349331262467899e-01
5.050505050505050830e-01,-4.898989898989898784e+00,7.184521614566676817e-01
5.555555555555555802e-01,-4.898989898989898784e+00,7.169463815269772056e-01
6.060606060606060774e-01,-4.898989898989898784e+00,7.154171712401087291e-01
6.565656565656565746e-01,-4.898989898989898784e+00,7.138641029390520032e-01
7.070707070707070718e-01,-4.898989898989898784e+00,7.122867436197566349e-01
7.575757575757575690e-01,-4.898989898989898784e+00,7.106846551773706722e-01
8.080808080808080662e-01,-4.898989898989898784e+00,7.090573946875267097e-01
8.585858585858585634e-01,-4.898989898989898784e+00,7.074045147271768030e-01
9.090909090909090606e-01,-4.898989898989898784e+00,7.057255637371646628e-01
9.595959595959595578e-01,-4.898989898989898784e+00,7.040200864307522011e-01
1.010101010101010166e+00,-4.898989898989898784e+00,7.022876242517277490e-01
1.060606060606060552e+00,-4.898989898989898784e+00,7.005277158860643283e-01
1.111111111111111160e+00,-4.898989898989898784e+00,6.987398978316612386e-01
1.161616161616161547e+00,-4.898989898989898784e+00,6.969237050309224912e-01
1.212121212121212155e+00,-4.898989898989898784e+00,6.950786715707373276e-01
