mu_V_ratio,J_V_ratio,sigma
0.000000000000000000e+00,-5.000000000000000000e+00,2.517416086961254962e-01
5.050505050505050414e-02,-5.000000000000000000e+00,2.519705610655797456e-01
1.010101010101010083e-01,-5.000000000000000000e+00,2.522033079293586888e-01
1.515151515151515194e-01,-5.000000000000000000e+00,2.524399301050307964e-01
2.020202020202020166e-01,-5.000000000000000000e+00,2.526805101873256243e-01
2.525252525252525415e-01,-5.000000000000000000e+00,2.529251325677278617e-01
3.030303030303030387e-01,-5.000000000000000000e+00,2.531738834517773262e-01
3.535353535353535359e-01,-5.000000000000000000e+00,2.534268508737098080e-01
4.040404040404040331e-01,-5.000000000000000000e+00,2.536841247081028095e-01
4.545454545454545303e-01,-5.000000000000000000e+00,2.539457966780900300e-01
5.050505050505050830e-01,-5.000000000000000000e+00,2.542119603596950661e-01
5.555555555555555802e-01,-5.000000000000000000e+00,2.544827111818083187e-01
6.060606060606060774e-01,-5.000000000000000000e+00,2.547581464212252955e-01
6.565656565656565746e-01,-5.000000000000000000e+00,2.550383651921868666e-01
7.070707070707070718e-01,-5.000000000000000000e+00,2.553234684297203128e-01
7.575757575757575690e-01,-5.000000000000000000e+00,2.556135588660767288e-01
8.080808080808080662e-01,-5.000000000000000000e+00,2.559087409994690865e-01
8.585858585858585634e-01,-5.000000000000000000e+00,2.562091210542267183e-01
9.090909090909090606e-01,-5.000000000000000000e+00,2.565148069314135415e-01
9.595959595959595578e-01,-5.000000000000000000e+00,2.568259081488409312e-01
1.010101010101010166e+00,-5.000000000000000000e+00,2.571425357693606362e-01
1.060606060606060552e+00,-5.000000000000000000e+00,2.574648023161364985e-01
1.111111111111111160e+00,-5.000000000000000000e+00,2.577928216735298483e-01
1.161616161616161547e+00,-5.000000000000000000e+00,2.581267089720964414e-01
1.212121212121212155e+00,-5.000000000000000000e+00,2.584665804560232205e-01
1.262626262626262541e+00,-5.000000000000000000e+00,2.588125533312203852e-01
1.313131313131313149e+00,-5.000000000000000000e+00,2.591647455920762511e-01
1.363636363636363535e+00,-5.000000000000000000e+00,2.595232758247381089e-01
1.414141414141414144e+00,-5.000000000000000000e+00,2.598882629845596370e-01
1.464646464646464530e+00,-5.000000000000000000e+00,2.602598261451643524e-01
1.515151515151515138e+00,-5.000000000000000000e+00,2.606380842163161793e-01
1.565656565656565524e+00,-5.000000000000000000e+00,2.610231556275807718e-01
1.616161616161616132e+00,-5.000000000000000000e+00,2.614151579744530274e-01
1.666666666666666741e+00,-5.000000000000000000e+00,2.618142076233574422e-01
1.717171717171717127e+00,-5.000000000000000000e+00,2.622204192716252047e-01
1.767676767676767735e+00,-5.000000000000000000e+00,2.626339054581939836e-01
1.818181818181818121e+00,-5.000000000000000000e+00,2.630547760204346441e-01
1.868686868686868729e+00,-5.000000000000000000e+00,2.634831374921139391e-01
1.919191919191919116e+00,-5.000000000000000000e+00,2.639190924371196401e-01
1.969696969696969724e+00,-5.000000000000000000e+00,2.643627387130833561e-01
2.020202020202020332e+00,-5.000000000000000000e+00,2.648141686586252264e-01
2.070707070707070496e+00,-5.000000000000000000e+00,2.652734681974214248e-01
2.121212121212121104e+00,-5.000000000000000000e+00,2.657407158517787193e-01
2.171717171717171713e+00,-5.000000000000000000e+00,2.662159816578485994e-01
2.222222222222222321e+00,-5.000000000000000000e+00,2.666993259740463307e-01
2.272727272727272485e+00,-5.000000000000000000e+00,2.671907981736325599e-01
2.323232323232323093e+00,-5.000000000000000000e+00,2.676904352117842611e-01
2.373737373737373701e+00,-5.000000000000000000e+00,2.681982600568425523e-01
2.424242424242424310e+00,-5.000000000000000000e+00,2.687142799747778699e-01
2.474747474747474918e+00,-5.000000000000000000e+00,2.692384846552020594e-01
2.525252525252525082e+00,-5.000000000000000000e+00,2.697708441666508139e-01
2.575757575757575690e+00,-5.000000000000000000e+00,2.703113067281066595e-01
2.626262626262626299e+00,-5.000000000000000000e+00,2.708597962831569284e-01
2.676767676767676907e+00,-5.000000000000000000e+00,2.714162098625140240e-01
2.727272727272727071e+00,-5.000000000000000000e+00,2.719804147200577948e-01
2.777777777777777679e+00,-5.000000000000000000e+00,2.725522452270352503e-01
2.828282828282828287e+00,-5.000000000000000000e+00,2.731314995086421282e-01
2.878787878787878896e+00,-5.000000000000000000e+00,2.737179358068596025e-01
2.929292929292929060e+00,-5.000000000000000000e+00,2.743112685532511086e-01
2.979797979797979668e+00,-5.000000000000000000e+00,2.749111641354007318e-01
3.030303030303030276e+00,-5.000000000000000000e+00,2.755172363408789904e-01
3.080808080808080884e+00,-5.000000000000000000e+00,2.761290414630669932e-01
3.131313131313131048e+00,-5.000000000000000000e+00,2.767460730539248459e-01
3.181818181818181657e+00,-5.000000000000000000e+00,2.773677563098758680e-01
3.232323232323232265e+00,-5.000000000000000000e+00,2.779934420785420413e-01
3.282828282828282873e+00,-5.000000000000000000e+00,2.786224004760270434e-01
3.333333333333333481e+00,-5.000000000000000000e+00,2.792538141070231572e-01
3.383838383838383645e+00,-5.000000000000000000e+00,2.798867708832095125e-01
3.434343434343434254e+00,-5.000000000000000000e+00,2.805202564392590414e-01
3.484848484848484862e+00,-5.000000000000000000e+00,2.811531461505180629e-01
3.535353535353535470e+00,-5.000000000000000000e+00,2.817841967619423849e-01
3.585858585858585634e+00,-5.000000000000000000e+00,2.824120376444088087e-01
3.636363636363636243e+00,-5.000000000000000000e+00,2.830351617021300559e-01
3.686868686868686851e+00,-5.000000000000000000e+00,2.836519159636022858e-01
3.737373737373737459e+00,-5.000000000000000000e+00,2.842604918984280582e-01
3.787878787878787623e+00,-5.000000000000000000e+00,2.848589155136070916e-01
3.838383838383838231e+00,-5.000000000000000000e+00,2.854450372953741266e-01
3.888888888888888840e+00,-5.000000000000000000e+00,2.860165220766173744e-01
3.939393939393939448e+00,-5.000000000000000000e+00,2.865708389251676591e-01
3.989898989898989612e+00,-5.000000000000000000e+00,2.871052511649085925e-01
4.040404040404040664e+00,-5.000000000000000000e+00,2.876168066596945239e-01
4.090909090909090828e+00,-5.000000000000000000e+00,2.881023285092900732e-01
4.141414141414140992e+00,-5.000000000000000000e+00,2.885584063269774902e-01
4.191919191919192045e+00,-5.000000000000000000e+00,2.889813882899703867e-01
4.242424242424242209e+00,-5.000000000000000000e+00,2.893673741759718587e-01
4.292929292929293261e+00,-5.000000000000000000e+00,2.897122096221829701e-01
4.343434343434343425e+00,-5.000000000000000000e+00,2.900114818663004912e-01
4.393939393939393590e+00,-5.000000000000000000e+00,2.902605172522490506e-01
4.444444444444444642e+00,-5.000000000000000000e+00,2.904543808064831700e-01
4.494949494949494806e+00,-5.000000000000000000e+00,2.905878782128343274e-01
4.545454545454544970e+00,-5.000000000000000000e+00,2.906555605350837901e-01
4.595959595959596022e+00,-5.000000000000000000e+00,2.906517320557469586e-01
4.646464646464646187e+00,-5.000000000000000000e+00,2.905704616167960608e-01
4.696969696969697239e+00,-5.000000000000000000e+00,2.904055978620851408e-01
4.747474747474747403e+00,-5.000000000000000000e+00,2.901507887916486284e-01
4.797979797979797567e+00,-5.000000000000000000e+00,2.897995060432701497e-01
4.848484848484848619e+00,-5.000000000000000000e+00,2.893450743160506100e-01
4.898989898989898784e+00,-5.000000000000000000e+00,2.887807063418411646e-01
4.949494949494949836e+00,-5.000000000000000000e+00,2.880995437918397739e-01
5.000000000000000000e+00,-5.000000000000000000e+00,2.872947044745973733e-01
0.000000000000000000e+00,-4.898989898989898784e+00,2.523303985451024745e-01
5.050505050505050414e-02,-4.898989898989898784e+00,2.525651302777100482e-01
1.010101010101010083e-01,-4.898989898989898784e+00,2.528038337118961310e-01
1.515151515151515194e-01,-4.898989898989898784e+00,2.530465952106661365e-01
2.020202020202020166e-01,-4.898989898989898784e+00,2.532935030757482164e-01
2.525252525252525415e-01,-4.898989898989898784e+00,2.535446475693930446e-01
3.030303030303030387e-01,-4.898989898989898784e+00,2.538001209335680186e-01
3.535353535353535359e-01,-4.898989898989898784e+00,2.540600174061267702e-01
4.040404040404040331e-01,-4.898989898989898784e+00,2.543244332335353741e-01
4.545454545454545303e-01,-4.898989898989898784e+00,2.545934666796752510e-01
5.050505050505050830e-01,-4.898989898989898784e+00,2.548672180301965184e-01
5.555555555555555802e-01,-4.898989898989898784e+00,2.551457895918427532e-01
