mu_V_ratio,J_V_ratio,sigma
0.000000000000000000e+00,-5.000000000000000000e+00,1.973673232452989035e-01
5.050505050505050414e-02,-5.000000000000000000e+00,1.974968247739418148e-01
1.010101010101010083e-01,-5.000000000000000000e+00,1.976283946677536707e-01
1.515151515151515194e-01,-5.000000000000000000e+00,1.977620740075862471e-01
2.020202020202020166e-01,-5.000000000000000000e+00,1.978979045866675612e-01
2.525252525252525415e-01,-5.000000000000000000e+00,1.980359288998221612e-01
3.030303030303030387e-01,-5.000000000000000000e+00,1.981761901294804840e-01
3.535353535353535359e-01,-5.000000000000000000e+00,1.983187321281170701e-01
4.040404040404040331e-01,-5.000000000000000000e+00,1.984635993966947509e-01
4.545454545454545303e-01,-5.000000000000000000e+00,1.986108370586585348e-01
5.050505050505050830e-01,-5.000000000000000000e+00,1.987604908289827554e-01
5.555555555555555802e-01,-5.000000000000000000e+00,1.989126069777009953e-01
6.060606060606060774e-01,-5.000000000000000000e+00,1.990672322873157651e-01
6.565656565656565746e-01,-5.000000000000000000e+00,1.992244140033995470e-01
7.070707070707070718e-01,-5.000000000000000000e+00,1.993841997776438779e-01
7.575757575757575690e-01,-5.000000000000000000e+00,1.995466376025247790e-01
8.080808080808080662e-01,-5.000000000000000000e+00,1.997117757366785318e-01
8.585858585858585634e-01,-5.000000000000000000e+00,1.998796626199670634e-01
9.090909090909090606e-01,-5.000000000000000000e+00,2.000503467771332922e-01
9.595959595959595578e-01,-5.000000000000000000e+00,2.002238767088146132e-01
1.010101010101010166e+00,-5.000000000000000000e+00,2.004003007685540017e-01
1.060606060606060552e+00,-5.000000000000000000e+00,2.005796670243263080e-01
1.111111111111111160e+00,-5.000000000000000000e+00,2.007620231029104418e-01
1.161616161616161547e+00,-5.000000000000000000e+00,2.009474160153064126e-01
1.212121212121212155e+00,-5.000000000000000000e+00,2.011358919611768437e-01
1.262626262626262541e+00,-5.000000000000000000e+00,2.013274961100891547e-01
1.313131313131313149e+00,-5.000000000000000000e+00,2.015222723571322427e-01
1.363636363636363535e+00,-5.000000000000000000e+00,2.017202630501871985e-01
1.414141414141414144e+00,-5.000000000000000000e+00,2.019215086858822950e-01
1.464646464646464530e+00,-5.000000000000000000e+00,2.021260475709562299e-01
1.515151515151515138e+00,-5.000000000000000000e+00,2.023339154453944744e-01
1.565656565656565524e+00,-5.000000000000000000e+00,2.025451450633578565e-01
1.616161616161616132e+00,-5.000000000000000000e+00,2.027597657274950171e-01
1.666666666666666741e+00,-5.000000000000000000e+00,2.029778027717963340e-01
1.717171717171717127e+00,-5.000000000000000000e+00,2.031992769876462546e-01
1.767676767676767735e+00,-5.000000000000000000e+00,2.034242039872001806e-01
1.818181818181818121e+00,-5.000000000000000000e+00,2.036525934976099184e-01
1.868686868686868729e+00,-5.000000000000000000e+00,2.038844485789916561e-01
1.919191919191919116e+00,-5.000000000000000000e+00,2.041197647583240515e-01
1.969696969696969724e+00,-5.000000000000000000e+00,2.043585290706811108e-01
2.020202020202020332e+00,-5.000000000000000000e+00,2.046007189983992669e-01
2.070707070707070496e+00,-5.000000000000000000e+00,2.048463012978600228e-01
2.121212121212121104e+00,-5.000000000000000000e+00,2.050952307025928900e-01
2.171717171717171713e+00,-5.000000000000000000e+00,2.053474484903667630e-01
2.222222222222222321e+00,-5.000000000000000000e+00,2.056028809008070835e-01
2.272727272727272485e+00,-5.000000000000000000e+00,2.058614373888781879e-01
2.323232323232323093e+00,-5.000000000000000000e+00,2.061230086983018017e-01
2.373737373737373701e+00,-5.000000000000000000e+00,2.063874647376413296e-01
2.424242424242424310e+00,-5.000000000000000000e+00,2.066546522404002773e-01
2.474747474747474918e+00,-5.000000000000000000e+00,2.069243921890280558e-01
2.525252525252525082e+00,-5.000000000000000000e+00,2.071964769812748297e-01
2.575757575757575690e+00,-5.000000000000000000e+00,2.074706673158751014e-01
2.626262626262626299e+00,-5.000000000000000000e+00,2.077466887731051481e-01
2.676767676767676907e+00,-5.000000000000000000e+00,2.080242280644308828e-01
2.727272727272727071e+00,-5.000000000000000000e+00,2.083029289242503690e-01
2.777777777777777679e+00,-5.000000000000000000e+00,2.085823876157717471e-01
2.828282828282828287e+00,-5.000000000000000000e+00,2.088621480223747939e-01
2.878787878787878896e+00,-5.000000000000000000e+00,2.091416962956168524e-01
2.929292929292929060e+00,-5.000000000000000000e+00,2.094204550313647217e-01
2.979797979797979668e+00,-5.000000000000000000e+00,2.096977769466735753e-01
3.030303030303030276e+00,-5.000000000000000000e+00,2.099729380321648797e-01
3.080808080808080884e+00,-5.000000000000000000e+00,2.102451301579970344e-01
3.131313131313131048e+00,-5.000000000000000000e+00,2.105134531164951639e-01
3.181818181818181657e+00,-5.000000000000000000e+00,2.107769060914005677e-01
3.232323232323232265e+00,-5.000000000000000000e+00,2.110343785529676941e-01
3.282828282828282873e+00,-5.000000000000000000e+00,2.112846405903471281e-01
3.333333333333333481e+00,-5.000000000000000000e+00,2.115263327082837208e-01
3.383838383838383645e+00,-5.000000000000000000e+00,2.117579551349404177e-01
3.434343434343434254e+00,-5.000000000000000000e+00,2.119778567121063939e-01
3.484848484848484862e+00,-5.000000000000000000e+00,2.121842234690935192e-01
3.535353535353535470e+00,-5.000000000000000000e+00,2.123750670178516653e-01
3.585858585858585634e+00,-5.000000000000000000e+00,2.125482129499727257e-01
3.636363636363636243e+00,-5.000000000000000000e+00,2.127012894669435827e-01
3.686868686868686851e+00,-5.000000000000000000e+00,2.128317165335672501e-01
3.737373737373737459e+00,-5.000000000000000000e+00,2.129366959110695900e-01
3.787878787878787623e+00,-5.000000000000000000e+00,2.130132025006287455e-01
3.838383838383838231e+00,-5.000000000000000000e+00,2.130579775089906924e-01
3.888888888888888840e+00,-5.000000000000000000e+00,2.130675240334732046e-01
3.939393939393939448e+00,-5.000000000000000000e+00,2.130381057512953646e-01
3.989898989898989612e+00,-5.000000000000000000e+00,2.129657494833229192e-01
4.040404040404040664e+00,-5.000000000000000000e+00,2.128462524792069377e-01
4.090909090909090828e+00,-5.000000000000000000e+00,2.126751953319047928e-01
4.141414141414140992e+00,-5.000000000000000000e+00,2.124479614651178794e-01
4.191919191919192045e+00,-5.000000000000000000e+00,2.121597641360435105e-01
4.242424242424242209e+00,-5.000000000000000000e+00,2.118056818451483359e-01
4.292929292929293261e+00,-5.000000000000000000e+00,2.113807029310626195e-01
4.343434343434343425e+00,-5.000000000000000000e+00,2.108797799386837035e-01
4.393939393939393590e+00,-5.000000000000000000e+00,2.102978940710102940e-01
4.444444444444444642e+00,-5.000000000000000000e+00,2.096301296624298593e-01
4.494949494949494806e+00,-5.000000000000000000e+00,2.088717581419176628e-01
4.545454545454544970e+00,-5.000000000000000000e+00,2.080183303965315311e-01
4.595959595959596022e+00,-5.000000000000000000e+00,2.070657758173221896e-01
4.646464646464646187e+00,-5.000000000000000000e+00,2.060105056429989701e-01
4.696969696969697239e+00,-5.000000000000000000e+00,2.048495175562573545e-01
4.747474747474747403e+00,-5.000000000000000000e+00,2.035804978903048013e-01
4.797979797979797567e+00,-5.000000000000000000e+00,2.022019173338640841e-01
4.848484848484848619e+00,-5.000000000000000000e+00,2.007131157486609918e-01
4.898989898989898784e+00,-5.000000000000000000e+00,1.991143716951273845e-01
4.949494949494949836e+00,-5.000000000000000000e+00,1.974069525449843876e-01
5.000000000000000000e+00,-5.000000000000000000e+00,1.955931416638874154e-01
0.000000000000000000e+00,-4.898989898989898784e+00,1.968613627148249057e-01
5.050505050505050414e-02,-4.898989898989898784e+00,1.969925963821606563e-01
1.010101010101010083e-01,-4.898989898989898784e+00,1.971259681675408548e-01
1.515151515151515194e-01,-4.898989898989898784e+00,1.972615213508945586e-01
2.020202020202020166e-01,-4.898989898989898784e+00,1.973992999727623154e-01
2.525252525252525415e-01,-4.898989898989898784e+00,1.975393488218077920e-01
3.030303030303030387e-01,-4.898989898989898784e+00,1.976817134186801828e-01
3.535353535353535359e-01,-4.898989898989898784e+00,1.978264399957807840e-01
4.040404040404040331e-01,-4.898989898989898784e+00,1.979735754724518126e-01
4.545454545454545303e-01,-4.898989898989898784e+00,1.981231674250696351e-01
5.050505050505050830e-01,-4.898989898989898784e+00,1.982752640514264530e-01
5.555555555555555802e-01,-4.898989898989898784e+00,1.984299141287669543e-01
6.060606060606060774e-01,-4.898989898989898784e+00,1.985871669647464033e-01
6.565656565656565746e-01,-4.898989898989898784e+00,1.987470723405191930e-01
7.070707070707070718e-01,-4.898989898989898784e+00,1.989096804450656009e-01
7.575757575757575690e-01,-4.898989898989898784e+00,1.990750417997844690e-01
8.080808080808080662e-01,-4.898989898989898784e+00,1.992432071722643194e-01
8.585858585858585634e-01,-4.898989898989898784e+00,1.994142274780493496e-01
9.090909090909090606e-01,-4.898989898989898784e+00,1.995881536690590208e-01
9.595959595959595578e-01,-4.898989898989898784e+00,1.997650366072128425e-01
1.010101010101010166e+00,-4.898989898989898784e+00,1.999449269216423686e-01
1.060606060606060552e+00,-4.898989898989898784e+00,2.001278748476816582e-01
1.111111111111111160e+00,-4.898989898989898784e+00,2.003139300456902028e-01
1.161616161616161547e+00,-4.898989898989898784e+00,2.005031413974866505e-01
1.212121212121212155e+00,-4.898989898989898784e+00,2.006955567779961369e-01
1.262626262626262541e+00,-4.898989898989898784e+00,2.008912227994289756e-01
1.313131313131313149e+00,-4.898989898989898784e+00,2.010901845250251396e-01
1.363636363636363535e+00,-4.898989898989898784e+00,2.012924851491033063e-01
1.414141414141414144e+00,-4.898989898989898784e+00,2.014981656398072696e-01
1.464646464646464530e+00,-4.898989898989898784e+00,2.017072643405261323e-01
1.515151515151515138e+00,-4.898989898989898784e+00,2.019198165256130550e-01
1.565656565656565524e+00,-4.898989898989898784e+00,2.021358539054972647e-01
1.616161616161616132e+00,-4.898989898989898784e+00,2.023554040758174521e-01
1.666666666666666741e+00,-4.898989898989898784e+00,2.025784899046369492e-01
1.717171717171717127e+00,-4.898989898989898784e+00,2.028051288511820982e-01
1.767676767676767735e+00,-4.898989898989898784e+00,2.030353322088593593e-01
1.818181818181818121e+00,-4.898989898989898784e+00,2.032691042646100066e-01
1.868686868686868729e+00,-4.898989898989898784e+00,2.035064413657963200e-01
1.919191919191919116e+00,-4.898989898989898784e+00,2.037473308849725717e-01
1.969696969696969724e+00,-4.898989898989898784e+00,2.039917500719310162e-01
2.020202020202020332e+00,-4.898989898989898784e+00,2.042396647813295718e-01
2.070707070707070496e+00,-4.898989898989898784e+00,2.044910280631444255e-01
2.121212121212121104e+00,-4.898989898989898784e+00,2.047457786019043213e-01
2.171717171717171713e+00,-4.898989898989898784e+00,2.050038389894021928e-01
2.222222222222222321e+00,-4.898989898989898784e+00,2.052651138141467213e-01
2.272727272727272485e+00,-4.898989898989898784e+00,2.055294875493621498e-01
2.323232323232323093e+00,-4.898989898989898784e+00,2.057968222197301134e-01
2.373737373737373701e+00,-4.898989898989898784e+00,2.060669548254907835e-01
2.424242424242424310e+00,-4.898989898989898784e+00,2.063396945007562600e-01
2.474747474747474918e+00,-4.898989898989898784e+00,2.066148193812277212e-01
2.525252525252525082e+00,-4.898989898989898784e+00,2.068920731547379543e-01
2.575757575757575690e+00,-4.898989898989898784e+00,2.071711612663947599e-01
2.626262626262626299e+00,-4.898989898989898784e+00,2.074517467484906785e-01
2.676767676767676907e+00,-4.898989898989898784e+00,2.077334456439698662e-01
2.727272727272727071e+00,-4.898989898989898784e+00,2.080158219910881456e-01
2.777777777777777679e+00,-4.898989898989898784e+00,2.082983823361780895e-01
2.828282828282828287e+00,-4.898989898989898784e+00,2.085805697412256299e-01
2.878787878787878896e+00,-4.898989898989898784e+00,2.088617572535050038e-01
2.929292929292929060e+00,-4.898989898989898784e+00,2.091412408060138728e-01
2.979797979797979668e+00,-4.898989898989898784e+00,2.094182315202048339e-01
3.030303030303030276e+00,-4.898989898989898784e+00,2.096918473868344401e-01
3.080808080808080884e+00,-4.898989898989898784e+00,2.099611043070874206e-01
3.131313131313131048e+00,-4.898989898989898784e+00,2.102249064849170124e-01
3.181818181818181657e+00,-4.898989898989898784e+00,2.104820361734029699e-01
3.232323232323232265e+00,-4.898989898989898784e+00,2.107311427934130954e-01
3.282828282828282873e+00,-4.898989898989898784e+00,2.109707314627862762e-01
3.333333333333333481e+00,-4.898989898989898784e+00,2.111991509993679794e-01
3.383838383838383645e+00,-4.898989898989898784e+00,2.114145814924320022e-01
3.434343434343434254e+00,-4.898989898989898784e+00,2.116150215751688712e-01
3.484848484848484862e+00,-4.898989898989898784e+00,2.117982755769881598e-01
3.535353535353535470e+00,-4.898989898989898784e+00,2.119619407890659391e-01
3.585858585858585634e+00,-4.898989898989898784e+00,2.121033951406164353e-01
3.636363636363636243e+00,-4.898989898989898784e+00,2.122197856570783303e-01
3.686868686868686851e+00,-4.898989898989898784e+00,2.123080181546591061e-01
3.737373737373737459e+00,-4.898989898989898784e+00,2.123647487176808235e-01
3.787878787878787623e+00,-4.898989898989898784e+00,2.123863776042061724e-01
3.838383838383838231e+00,-4.898989898989898784e+00,2.123690463284689522e-01
3.888888888888888840e+00,-4.898989898989898784e+00,2.123086387712310730e-01
3.939393939393939448e+00,-4.898989898989898784e+00,2.122007872648931925e-01
3.989898989898989612e+00,-4.898989898989898784e+00,2.120408846804192615e-01
4.040404040404040664e+00,-4.898989898989898784e+00,2.118241035970674646e-01
4.090909090909090828e+00,-4.898989898989898784e+00,2.115454236502255780e-01
4.141414141414140992e+00,-4.898989898989898784e+00,2.111996681121420250e-01
4.191919191919192045e+00,-4.898989898989898784e+00,2.107815506484246038e-01
4.242424242424242209e+00,-4.898989898989898784e+00,2.102857329932191210e-01
4.292929292929293261e+00,-4.898989898989898784e+00,2.097068939830539491e-01
4.343434343434343425e+00,-4.898989898989898784e+00,2.090398099728063841e-01
4.393939393939393590e+00,-4.898989898989898784e+00,2.082794461236968653e-01
4.444444444444444642e+00,-4.898989898989898784e+00,2.074210574095491644e-01
4.494949494949494806e+00,-4.898989898989898784e+00,2.064602974547323777e-01
4.545454545454544970e+00,-4.898989898989898784e+00,2.053933325316343594e-01
4.595959595959596022e+00,-4.898989898989898784e+00,2.042169572610184614e-01
4.646464646464646187e+00,-4.898989898989898784e+00,2.029287078438919423e-01
4.696969696969697239e+00,-4.898989898989898784e+00,2.015269680884688996e-01
4.747474747474747403e+00,-4.898989898989898784e+00,2.000110631632544822e-01
4.797979797979797567e+00,-4.898989898989898784e+00,1.983813359831340106e-01
4.848484848484848619e+00,-4.898989898989898784e+00,1.966392014754443918e-01
4.898989898989898784e+00,-4.898989898989898784e+00,1.947871747024160216e-01
4.949494949494949836e+00,-4.898989898989898784e+00,1.928288699188074606e-01
5.000000000000000000e+00,-4.898989898989898784e+00,1.907689690577255293e-01
0.000000000000000000e+00,-4.797979797979797567e+00,1.963357393380146532e-01
5.050505050505050414e-02,-4.797979797979797567e+00,1.964687414503766272e-01
1.010101010101010083e-01,-4.797979797979797567e+00,1.966039548724913544e-01
1.515151515151515194e-01,-4.797979797979797567e+00,1.967414252388276219e-01
2.020202020202020166e-01,-4.797979797979797567e+00,1.968811989965761344e-01
2.525252525252525415e-01,-4.797979797979797567e+00,1.970233233911653226e-01
3.030303030303030387e-01,-4.797979797979797567e+00,1.971678464475949966e-01
3.535353535353535359e-01,-4.797979797979797567e+00,1.973148169470729796e-01
4.040404040404040331e-01,-4.797979797979797567e+00,1.974642843983916152e-01
4.545454545454545303e-01,-4.797979797979797567e+00,1.976162990034277811e-01
